id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
18	academic achievements	0.295	-0.2111	2	16	17	3	2022.3333	8.6667	0.7493
24	action research	-0.1732	0.4958	3	7	7	3	2019.6667	9	1.3707
39	africa	0.7061	0.5487	8	6	9	5	2016	2.6	0.6274
51	africanities	0.7734	0.2957	2	10	10	3	2020	1.6667	0.2844
60	agriculture	-0.7488	0.4568	1	13	15	3	2019.3333	4	0.4664
66	algebra	-0.0705	-0.584	6	18	24	5	2019.6	1.4	0.3429
93	anthropology	0.5414	0.6911	8	7	11	5	2014.8	3.8	0.4339
108	arithmetic	0.1099	-0.82	6	10	15	5	2022.6	1.4	0.6798
113	article	0.3207	-0.1233	5	13	18	3	2020	3	0.3019
130	augmented reality	0.01	0.5273	9	8	8	3	2023.6667	7.6667	2.2879
155	batik	-0.7287	-1.0243	4	2	4	3	2022	14.3333	3.5315
161	behavioral research	-0.0438	0.1837	3	16	16	3	2022.3333	0	0
163	beliefs	0.8216	-0.2518	2	5	9	3	2023	2.6667	0.4926
170	bibliometric analysis	1.2765	-0.1551	2	3	4	4	2024.5	9.75	3.2786
205	buildings	-0.8167	0.5767	1	11	13	3	2020.6667	3.6667	0.5693
261	cognition	0.5	-0.0335	5	14	17	5	2015.4	7.4	0.689
263	cognitive anthropology	0.4935	-0.1048	5	8	10	3	2014.3333	2	0.3705
273	cognitive systems	-0.5282	0.0433	1	20	23	3	2019.6667	14.3333	1.4108
302	comparison techniques	-0.9496	-0.011	1	12	16	3	2020	10.3333	1.7632
305	computational thinking	0.9824	0.5093	2	4	5	3	2025.3333	2	1.8108
306	computer aided instruction	-0.2551	-0.2686	4	22	30	5	2022.8	1	0.1418
319	conceptual understanding	-0.1056	-0.3858	2	2	2	3	2025.3333	1	0.3344
322	congruence	-0.9346	1.2047	10	3	4	3	2022.3333	8.6667	1.9059
333	constructivism	0.0156	-0.8156	2	2	3	3	2006.3333	27.6667	1.4868
337	contextual learning	-0.6124	-0.8853	7	4	4	3	2021.3333	6.3333	0.6244
344	control groups	-1.0661	-0.322	1	15	26	4	2020.25	4.75	0.7154
351	copyrights	-0.1598	0.3525	3	19	23	6	2021	0.3333	0.0428
354	counting	0.6515	0.6691	8	4	5	3	2022.6667	7.6667	1.2558
360	covid-19	1.1483	-0.3122	5	4	5	3	2021.6667	7.3333	1.3165
370	creative thinking	-0.1212	-0.1874	2	19	24	7	2022.8571	5.5714	1.3659
373	creativity	-0.7209	-0.9753	4	3	5	4	2024	5.5	0.9385
377	critical mathematics education	0.6449	-0.3673	7	14	24	9	2021.7778	6.1111	0.6273
396	cultural anthropology	0.4413	-0.0861	5	12	16	3	2019	4.6667	0.5559
404	cultural context	-0.4045	-0.0929	4	16	19	4	2022.5	1	0.1706
409	cultural diversity	0.2324	0.2758	5	13	15	6	2020.5	3.6667	0.4636
411	cultural education	-0.3627	0.4961	1	9	10	3	2023.3333	1.3333	0.1315
416	cultural groups	-0.2043	0.2991	3	33	39	7	2019.8571	2.5714	0.2999
418	cultural heritages	-1.0424	0.411	1	6	10	3	2019.6667	9.6667	1.1687
419	cultural identity	0.3387	0.0952	5	23	26	5	2022.6	1.8	0.2492
423	cultural knowledge	0.8504	-0.1524	2	10	15	6	2021.5	6.8333	0.8699
427	cultural practices	0.2357	-0.0907	5	13	14	3	2025	0.3333	0.1115
437	cultural value	-0.8516	0.5562	1	10	11	3	2019	22.6667	1.8041
